datetime,temp,humidity,rainfall,windspeed,FLOOD
2022-04-21,22.2,32.8,0.0,27.7,0
2022-04-22,20.8,38.5,0.0,16.2,0
2022-04-23,20.6,30.6,0.0,22.7,0
2022-04-24,20.8,22.6,0.0,11.5,0
2022-04-25,21.6,23.6,0.0,24.1,0
2022-04-26,21.4,25.9,0.0,16.2,0
2022-04-27,22.4,25.6,0.0,9.0,0
2022-04-28,22.9,26.8,0.0,20.5,0
2022-04-29,23.2,29.9,0.0,27.0,0
2022-04-30,23.1,32.3,0.0,19.1,0
2022-05-01,22.0,39.2,4.17,19.1,0
2022-05-02,21.3,48.7,0.0,15.8,0
2022-05-03,21.5,54.6,33.33,14.0,0
2022-05-04,21.2,58.1,4.17,23.8,0
2022-05-05,20.3,54.3,4.17,7.2,0
2022-05-06,20.9,51.8,0.0,14.8,0
2022-05-07,21.3,42.6,0.0,8.6,0
2022-05-08,21.5,36.4,0.0,11.4,0
2022-05-09,21.4,46.6,0.0,14.8,0
2022-05-10,21.1,60.8,12.5,15.5,0
2022-05-11,21.4,63.1,0.0,11.9,0
2022-05-12,22.1,62.1,33.33,11.2,0
2022-05-13,21.6,61.4,4.17,9.7,0
2022-05-14,23.6,44.9,0.0,10.8,0
2022-05-15,24.9,28.2,0.0,16.2,0
2022-05-16,24.8,32.6,4.17,21.2,0
2022-05-17,21.1,47.8,8.33,9.0,0
2022-05-18,21.6,42.1,0.0,19.8,0
2022-05-19,23.0,36.8,0.0,12.6,0
2022-05-20,24.0,35.2,0.0,23.4,0
2022-05-21,23.1,34.3,0.0,29.9,0
2022-05-22,20.6,43.2,4.17,18.0,0
2022-05-23,17.3,69.4,37.5,12.6,0
2022-05-24,14.6,80.5,41.67,6.8,0
2022-05-25,18.5,55.7,8.33,6.8,0
2022-05-26,20.8,51.3,0.0,13.0,0
2022-05-27,20.4,60.1,12.5,9.7,0
2022-05-28,21.2,63.6,16.67,7.6,0
2022-05-29,22.4,61.0,8.33,10.4,0
2022-05-30,23.6,47.0,0.0,8.3,0
2022-05-31,23.8,32.8,0.0,8.6,0
2022-06-01,24.3,28.8,0.0,13.7,0
2022-06-02,24.6,25.5,0.0,23.0,0
2022-06-03,24.6,23.3,0.0,11.2,0
2022-06-04,24.9,22.4,0.0,11.5,0
2022-06-05,25.4,22.1,0.0,20.5,0
2022-06-06,25.5,24.0,0.0,10.4,0
2022-06-07,25.5,26.4,0.0,11.9,0
2022-06-08,25.9,30.2,0.0,23.0,0
2022-06-09,26.0,31.9,0.0,14.4,0
2022-06-10,24.9,35.7,0.0,9.4,0
2022-06-11,25.3,36.6,0.0,21.2,0
2022-06-12,25.0,38.1,0.0,14.0,0
2022-06-13,26.2,36.5,0.0,24.8,0
2022-06-14,26.7,35.1,0.0,13.7,0
2022-06-15,26.7,36.0,0.0,21.2,0
2022-06-16,23.0,59.4,50.0,7.9,0
2022-06-17,20.9,73.2,29.17,9.4,0
2022-06-18,20.3,71.1,20.83,11.9,0
2022-06-19,21.7,56.3,4.17,23.8,0
2022-06-20,19.5,66.9,29.17,9.4,0
2022-06-21,21.0,60.9,8.33,15.5,0
2022-06-22,23.7,56.0,4.17,12.6,0
2022-06-23,24.3,63.9,25.0,20.9,0
2022-06-24,23.9,66.5,33.33,15.1,0
2022-06-25,25.1,59.2,8.33,14.8,0
2022-06-26,24.2,70.3,54.17,10.4,0
2022-06-27,23.0,81.5,83.33,6.5,0
2022-06-28,23.2,82.7,83.33,5.4,0
2022-06-29,22.3,86.3,83.33,7.2,0
2022-06-30,20.4,87.8,45.83,6.5,0
2022-07-01,22.3,78.1,29.17,12.2,0
2022-07-02,22.3,85.3,83.33,5.4,0
2022-07-03,23.5,79.0,50.0,9.7,0
2022-07-04,23.8,79.9,66.67,10.8,0
2022-07-05,23.3,85.9,70.83,11.2,0
2022-07-06,23.3,82.7,58.33,7.9,0
2022-07-07,23.7,77.8,70.83,6.6,0
2022-07-08,23.4,81.3,70.83,7.2,0
2022-07-09,20.0,92.4,79.17,10.8,0
2022-07-10,21.2,83.0,37.5,6.1,0
2022-07-11,23.0,77.8,45.83,10.1,0
2022-07-12,22.9,80.5,79.17,5.8,0
2022-07-13,23.0,80.0,54.17,8.6,0
2022-07-14,22.9,77.8,41.67,10.1,0
2022-07-15,23.8,71.1,20.83,7.9,0
2022-07-16,23.7,75.0,37.5,8.6,0
2022-07-17,23.8,75.5,45.83,8.3,0
2022-07-18,23.4,80.6,83.33,6.4,0
2022-07-19,22.4,87.5,83.33,5.8,0
